"","brandsize_f","obs_id","dis","feature","price","idx.id1","idx.id2"
"1",FALSE,2227,0,0,0.043,   1,Heinz28
"2",FALSE,2227,0,0,0.032,   1,Heinz32
"3",FALSE,2227,0,0,0.051,   1,Heinz40
"4",TRUE,2227,1,1,0.028,   1,Hunts32
"5",TRUE,1352,0,0,0.043,   2,Heinz28
"6",FALSE,1352,0,0,0.037,   2,Heinz32
"7",FALSE,1352,0,0,0.044,   2,Heinz40
"8",FALSE,1352,0,0,0.034,   2,Hunts32
"9",TRUE,2675,1,0,0.035,   3,Heinz28
"10",FALSE,2675,0,0,0.034,   3,Heinz32
"11",FALSE,2675,0,0,0.046,   3,Heinz40
"12",FALSE,2675,0,0,0.031,   3,Hunts32
"13",FALSE,1581,0,0,0.053,   4,Heinz28
"14",TRUE,1581,0,0,0.037,   4,Heinz32
"15",FALSE,1581,0,0,0.050,   4,Heinz40
"16",FALSE,1581,0,0,0.037,   4,Hunts32
"17",TRUE,1680,0,0,0.042,   5,Heinz28
"18",FALSE,1680,0,0,0.034,   5,Heinz32
"19",FALSE,1680,0,0,0.042,   5,Heinz40
"20",FALSE,1680,0,0,0.031,   5,Hunts32
"21",TRUE,2754,0,0,0.039,   6,Heinz28
"22",FALSE,2754,1,0,0.025,   6,Heinz32
"23",FALSE,2754,0,0,0.050,   6,Heinz40
"24",FALSE,2754,0,0,0.031,   6,Hunts32
"25",TRUE,2522,0,1,0.042,   7,Heinz28
"26",FALSE,2522,0,0,0.033,   7,Heinz32
"27",FALSE,2522,1,0,0.050,   7,Heinz40
"28",FALSE,2522,0,0,0.035,   7,Hunts32
"29",FALSE,2644,0,0,0.034,   8,Heinz28
"30",TRUE,2644,0,0,0.034,   8,Heinz32
"31",FALSE,2644,0,0,0.050,   8,Heinz40
"32",FALSE,2644,0,0,0.028,   8,Hunts32
"33",FALSE,1811,0,0,0.026,   9,Heinz28
"34",FALSE,1811,0,0,0.017,   9,Heinz32
"35",TRUE,1811,0,0,0.030,   9,Heinz40
"36",FALSE,1811,0,0,0.019,   9,Hunts32
"37",FALSE, 759,0,0,0.052,  10,Heinz28
"38",TRUE, 759,0,0,0.028,  10,Heinz32
"39",FALSE, 759,0,0,0.046,  10,Heinz40
"40",FALSE, 759,0,0,0.037,  10,Hunts32
"41",FALSE,2212,0,0,0.047,  11,Heinz28
"42",TRUE,2212,0,0,0.028,  11,Heinz32
"43",FALSE,2212,0,0,0.050,  11,Heinz40
"44",FALSE,2212,0,0,0.030,  11,Hunts32
"45",FALSE, 184,0,0,0.050,  12,Heinz28
"46",TRUE, 184,0,0,0.015,  12,Heinz32
"47",FALSE, 184,0,0,0.049,  12,Heinz40
"48",FALSE, 184,0,0,0.041,  12,Hunts32
"49",FALSE,1733,0,0,0.049,  13,Heinz28
"50",TRUE,1733,0,0,0.037,  13,Heinz32
"51",FALSE,1733,0,0,0.046,  13,Heinz40
"52",FALSE,1733,0,0,0.041,  13,Hunts32
"53",FALSE, 620,0,0,0.041,  14,Heinz28
"54",FALSE, 620,0,0,0.027,  14,Heinz32
"55",FALSE, 620,0,0,0.049,  14,Heinz40
"56",TRUE, 620,0,0,0.035,  14,Hunts32
"57",FALSE,2430,0,0,0.043,  15,Heinz28
"58",TRUE,2430,0,1,0.034,  15,Heinz32
"59",FALSE,2430,0,0,0.042,  15,Heinz40
"60",FALSE,2430,0,0,0.031,  15,Hunts32
"61",FALSE,1734,0,0,0.049,  16,Heinz28
"62",TRUE,1734,0,0,0.030,  16,Heinz32
"63",FALSE,1734,0,0,0.046,  16,Heinz40
"64",FALSE,1734,0,0,0.031,  16,Hunts32
"65",TRUE, 926,1,0,0.039,  17,Heinz28
"66",FALSE, 926,0,0,0.030,  17,Heinz32
"67",FALSE, 926,0,0,0.050,  17,Heinz40
"68",FALSE, 926,0,0,0.030,  17,Hunts32
"69",FALSE, 166,0,0,0.053,  18,Heinz28
"70",TRUE, 166,0,0,0.037,  18,Heinz32
"71",FALSE, 166,0,0,0.052,  18,Heinz40
"72",FALSE, 166,0,0,0.037,  18,Hunts32
"73",FALSE,2018,0,0,0.034,  19,Heinz28
"74",TRUE,2018,0,0,0.037,  19,Heinz32
"75",FALSE,2018,0,0,0.042,  19,Heinz40
"76",FALSE,2018,0,0,0.031,  19,Hunts32
"77",TRUE,2254,0,0,0.050,  20,Heinz28
"78",FALSE,2254,0,0,0.034,  20,Heinz32
"79",FALSE,2254,0,0,0.046,  20,Heinz40
"80",FALSE,2254,0,0,0.031,  20,Hunts32
"81",FALSE,2399,0,0,0.034,  21,Heinz28
"82",TRUE,2399,0,0,0.034,  21,Heinz32
"83",FALSE,2399,0,0,0.050,  21,Heinz40
