"","brandsize_f","obs_id","dis","feature","price","idx.id1","idx.id2"
"1",FALSE,2104,0,0,0.047,   1,Heinz28
"2",TRUE,2104,1,0,0.031,   1,Heinz32
"3",FALSE,2104,0,0,0.046,   1,Heinz40
"4",FALSE,2104,0,0,0.031,   1,Hunts32
"5",FALSE,1018,0,0,0.047,   2,Heinz28
"6",TRUE,1018,0,0,0.030,   2,Heinz32
"7",FALSE,1018,0,0,0.050,   2,Heinz40
"8",FALSE,1018,0,0,0.030,   2,Hunts32
"9",TRUE, 902,0,0,0.034,   3,Heinz28
"10",FALSE, 902,0,0,0.037,   3,Heinz32
"11",FALSE, 902,0,0,0.042,   3,Heinz40
"12",FALSE, 902,0,0,0.034,   3,Hunts32
"13",FALSE,1735,0,0,0.035,   4,Heinz28
"14",TRUE,1735,0,0,0.030,   4,Heinz32
"15",FALSE,1735,0,0,0.037,   4,Heinz40
"16",FALSE,1735,0,0,0.028,   4,Hunts32
"17",TRUE,2476,0,1,0.042,   5,Heinz28
"18",FALSE,2476,0,0,0.031,   5,Heinz32
"19",FALSE,2476,0,0,0.050,   5,Heinz40
"20",FALSE,2476,0,0,0.035,   5,Hunts32
"21",FALSE,1485,0,0,0.050,   6,Heinz28
"22",TRUE,1485,0,0,0.032,   6,Heinz32
"23",FALSE,1485,0,0,0.046,   6,Heinz40
"24",FALSE,1485,0,0,0.041,   6,Hunts32
"25",FALSE,1102,0,0,0.045,   7,Heinz28
"26",TRUE,1102,0,0,0.037,   7,Heinz32
"27",FALSE,1102,0,0,0.042,   7,Heinz40
"28",FALSE,1102,0,0,0.034,   7,Hunts32
"29",FALSE,1683,0,0,0.046,   8,Heinz28
"30",TRUE,1683,0,0,0.037,   8,Heinz32
"31",FALSE,1683,0,0,0.042,   8,Heinz40
"32",FALSE,1683,0,0,0.034,   8,Hunts32
"33",FALSE,1625,0,0,0.045,   9,Heinz28
"34",TRUE,1625,0,0,0.034,   9,Heinz32
"35",FALSE,1625,0,0,0.042,   9,Heinz40
"36",FALSE,1625,0,0,0.031,   9,Hunts32
"37",FALSE,1652,0,0,0.043,  10,Heinz28
"38",FALSE,1652,0,0,0.034,  10,Heinz32
"39",TRUE,1652,0,0,0.042,  10,Heinz40
"40",FALSE,1652,0,0,0.031,  10,Hunts32
"41",TRUE,1397,0,0,0.052,  11,Heinz28
"42",FALSE,1397,0,0,0.037,  11,Heinz32
"43",FALSE,1397,0,0,0.046,  11,Heinz40
"44",FALSE,1397,0,0,0.037,  11,Hunts32
"45",FALSE,2016,0,1,0.034,  12,Heinz28
"46",TRUE,2016,0,0,0.037,  12,Heinz32
"47",FALSE,2016,0,0,0.042,  12,Heinz40
"48",FALSE,2016,0,0,0.031,  12,Hunts32
"49",FALSE,2221,0,0,0.052,  13,Heinz28
"50",TRUE,2221,0,0,0.018,  13,Heinz32
"51",FALSE,2221,0,0,0.046,  13,Heinz40
"52",FALSE,2221,0,0,0.037,  13,Hunts32
"53",FALSE,2201,0,0,0.046,  14,Heinz28
"54",TRUE,2201,0,0,0.036,  14,Heinz32
"55",FALSE,2201,0,0,0.054,  14,Heinz40
"56",FALSE,2201,0,0,0.037,  14,Hunts32
"57",TRUE,2084,0,0,0.042,  15,Heinz28
"58",FALSE,2084,0,0,0.034,  15,Heinz32
"59",FALSE,2084,0,0,0.050,  15,Heinz40
"60",FALSE,2084,0,0,0.028,  15,Hunts32
"61",FALSE, 619,0,0,0.034,  16,Heinz28
"62",TRUE, 619,0,0,0.034,  16,Heinz32
"63",FALSE, 619,0,0,0.050,  16,Heinz40
"64",FALSE, 619,0,0,0.031,  16,Hunts32
"65",FALSE,1866,0,0,0.047,  17,Heinz28
"66",TRUE,1866,0,0,0.034,  17,Heinz32
"67",FALSE,1866,0,0,0.050,  17,Heinz40
"68",FALSE,1866,0,0,0.031,  17,Hunts32
"69",TRUE,1251,1,1,0.042,  18,Heinz28
"70",FALSE,1251,0,0,0.037,  18,Heinz32
"71",FALSE,1251,0,0,0.042,  18,Heinz40
"72",FALSE,1251,0,0,0.034,  18,Hunts32
