"","brandsize_f","obs_id","dis","feature","price","idx.id1","idx.id2"
"1",FALSE,2038,0,0,0.042,   1,Heinz28
"2",TRUE,2038,0,0,0.022,   1,Heinz32
"3",FALSE,2038,0,0,0.046,   1,Heinz40
"4",FALSE,2038,0,0,0.033,   1,Hunts32
"5",FALSE,2324,0,0,0.046,   2,Heinz28
"6",TRUE,2324,1,1,0.027,   2,Heinz32
"7",FALSE,2324,0,0,0.044,   2,Heinz40
"8",FALSE,2324,0,0,0.049,   2,Hunts32
"9",FALSE,2328,0,0,0.046,   3,Heinz28
"10",TRUE,2328,0,1,0.012,   3,Heinz32
"11",FALSE,2328,0,0,0.030,   3,Heinz40
"12",FALSE,2328,0,0,0.043,   3,Hunts32
"13",FALSE,1025,0,0,0.050,   4,Heinz28
"14",TRUE,1025,0,0,0.034,   4,Heinz32
"15",FALSE,1025,0,0,0.050,   4,Heinz40
"16",FALSE,1025,0,0,0.031,   4,Hunts32
"17",FALSE, 903,0,1,0.043,   5,Heinz28
"18",TRUE, 903,0,0,0.021,   5,Heinz32
"19",FALSE, 903,0,0,0.044,   5,Heinz40
"20",FALSE, 903,0,0,0.034,   5,Hunts32
"21",FALSE,2506,0,0,0.034,   6,Heinz28
"22",TRUE,2506,0,0,0.034,   6,Heinz32
"23",FALSE,2506,0,0,0.050,   6,Heinz40
"24",FALSE,2506,0,0,0.031,   6,Hunts32
"25",FALSE,1028,0,0,0.050,   7,Heinz28
"26",TRUE,1028,0,0,0.034,   7,Heinz32
"27",FALSE,1028,0,0,0.050,   7,Heinz40
"28",FALSE,1028,1,0,0.025,   7,Hunts32
"29",TRUE,  46,1,0,0.039,   8,Heinz28
"30",FALSE,  46,0,0,0.034,   8,Heinz32
"31",FALSE,  46,0,0,0.050,   8,Heinz40
"32",FALSE,  46,0,0,0.031,   8,Hunts32
"33",TRUE,2236,0,0,0.042,   9,Heinz28
"34",FALSE,2236,0,0,0.030,   9,Heinz32
"35",FALSE,2236,0,0,0.050,   9,Heinz40
"36",FALSE,2236,0,0,0.030,   9,Hunts32
"37",FALSE,1272,0,0,0.043,  10,Heinz28
"38",TRUE,1272,0,0,0.034,  10,Heinz32
"39",FALSE,1272,0,0,0.042,  10,Heinz40
"40",FALSE,1272,0,0,0.031,  10,Hunts32
"41",TRUE,1493,0,0,0.047,  11,Heinz28
"42",FALSE,1493,1,0,0.025,  11,Heinz32
"43",FALSE,1493,0,0,0.050,  11,Heinz40
"44",FALSE,1493,0,0,0.031,  11,Hunts32
"45",FALSE,1525,0,0,0.042,  12,Heinz28
"46",TRUE,1525,0,0,0.031,  12,Heinz32
"47",FALSE,1525,0,0,0.050,  12,Heinz40
"48",FALSE,1525,0,0,0.035,  12,Hunts32
"49",TRUE,2255,0,0,0.034,  13,Heinz28
"50",FALSE,2255,1,0,0.031,  13,Heinz32
"51",FALSE,2255,0,0,0.050,  13,Heinz40
"52",FALSE,2255,0,0,0.028,  13,Hunts32
"53",FALSE,  65,0,0,0.041,  14,Heinz28
"54",TRUE,  65,0,1,0.012,  14,Heinz32
