"","x"
"1","Name"
"2","Student number"
"3","30"
"4","R"
"5","4.1.2"
"6","-0.915003009141737"
"7","0.0916775829819639"
"8","-1.06418229477612"
"9","0.103661445345946"
"10","-2.43620407364921"
"11","0.114739500075299"
"12","-139.889004591522"
"13","6.91157919906428"
"14","0.853772594923968"
"15","0.112041521115334"
"16","1.06636185791188"
"17","0.138366233980679"
"18","-1791.90386129097"
"19","0.199549917387548"
"20","-21.7630572005974"
"21","15.495365347932"
"22","2.45290126582705"
"23","3.81479058683832"
"24","15.495365347932"
"25","-26.5325565376026"
"26","4.31979788704058"
"27","6.71739330263001"
"28","2.45290126582705"
"29","4.31979788704058"
"30","-7.8023720653622"
"31","1.02967291249457"
"32","3.81479058683832"
"33","6.71739330263001"
"34","1.02967291249457"
"35","-11.5618568019629"
"36","-0.0325808428758341"
"37","-0.0571199066932249"
"38","-0.00856794712125243"
"39","0.0982686966903114"
"40","24.3285954897509"
"41","0.000187711360450054"
