"","x"
"1","Name"
"2","Student number"
"3","86"
"4","R"
"5","4.1.2"
"6","-0.925933591341835"
"7","0.0912635996091552"
"8","-1.11517889432274"
"9","0.104429654506579"
"10","-2.41166870501604"
"11","0.113896488406189"
"12","-139.737367949933"
"13","6.82333931084422"
"14","0.897670712496936"
"15","0.114598679149703"
"16","0.868818965279848"
"17","0.132761616577723"
"18","-1798.41833985698"
"19","0.196746208422559"
"20","-21.8296218725586"
"21","15.4583921450626"
"22","2.40606971296995"
"23","3.96516001452613"
"24","15.4583921450626"
"25","-26.5132967502019"
"26","4.16018667463042"
"27","6.89471793050894"
"28","2.40606971296995"
"29","4.16018667463042"
"30","-7.60207933709874"
"31","1.03582294949837"
"32","3.96516001452613"
"33","6.89471793050894"
"34","1.03582294949837"
"35","-11.8957008945334"
"36","-0.0359206100436233"
"37","-0.062559578660994"
"38","-0.00914471913025866"
"39","0.107624907834876"
"40","21.5721042242313"
"41","0.000631299068813414"
