"","x"
"1","Name"
"2","Student number"
"3","42"
"4","R"
"5","4.1.2"
"6","-0.86354644972081"
"7","0.0907147697264447"
"8","-1.07382414853658"
"9","0.104344455176676"
"10","-2.35372778604369"
"11","0.1128448859278"
"12","-137.84248298001"
"13","6.85639758679395"
"14","0.869423922971497"
"15","0.114430205851088"
"16","0.891444832949235"
"17","0.1306696570533"
"18","-1812.01527398151"
"19","0.192504891053104"
"20","-21.5102235562465"
"21","15.2163929643127"
"22","2.34560253968971"
"23","3.94822805224408"
"24","15.2163929643127"
"25","-26.3827019498623"
"26","4.1785692341929"
"27","6.98773975135673"
"28","2.34560253968971"
"29","4.1785692341929"
"30","-7.56722950618509"
"31","1.04305773230247"
"32","3.94822805224408"
"33","6.98773975135673"
"34","1.04305773230247"
"35","-11.9790255359033"
"36","-0.0346332487165785"
"37","-0.0613489056367146"
"38","-0.00893469155362042"
"39","0.104916845906913"
"40","22.8156756631824"
"41","0.000366082029380698"
