"","x"
"1","Name"
"2","Student number"
"3","08"
"4","R"
"5","4.1.2"
"6","-0.884443951114293"
"7","0.0904342952769144"
"8","-1.15001644198289"
"9","0.105941608361529"
"10","-2.37348924099128"
"11","0.112418005579027"
"12","-137.685260214693"
"13","6.79833400440377"
"14","0.914912175922506"
"15","0.112228710093556"
"16","0.829492056218164"
"17","0.134256095519276"
"18","-1788.35521262394"
"19","0.19668300553301"
"20","-21.4316076655949"
"21","15.2450131161984"
"22","2.29654191695161"
"23","3.89005263244496"
"24","15.2450131161984"
"25","-26.0487494943226"
"26","3.98729441313926"
"27","6.81644196498504"
"28","2.29654191695161"
"29","3.98729441313926"
"30","-7.26199329142349"
"31","0.978156961332622"
"32","3.89005263244496"
"33","6.81644196498504"
"34","0.978156961332622"
"35","-11.6846515587626"
"36","-0.0369957834425956"
"37","-0.0645185887249105"
"38","-0.00893035202554449"
"39","0.110444724193051"
"40","14.8555390524104"
"41","0.0109977645547021"
