"","x"
"1","Name"
"2","Student number"
"3","23"
"4","R"
"5","4.1.2"
"6","-0.889361436899416"
"7","0.0904436180991072"
"8","-1.06565680509556"
"9","0.102610241614114"
"10","-2.37132002739063"
"11","0.112865237497157"
"12","-137.534653406057"
"13","6.75661653958338"
"14","0.869812826655638"
"15","0.11539108723751"
"16","0.881598082328879"
"17","0.134244815816678"
"18","-1819.42625597195"
"19","0.192559489987324"
"20","-21.5059334596259"
"21","15.1694892325814"
"22","2.42752074192762"
"23","3.90892348511691"
"24","15.1694892325814"
"25","-26.3498973771657"
"26","4.31891921834263"
"27","6.8614889262417"
"28","2.42752074192762"
"29","4.31891921834263"
"30","-7.82543798638939"
"31","1.07899802611914"
"32","3.90892348511691"
"33","6.8614889262417"
"34","1.07899802611914"
"35","-11.8494104374777"
"36","-0.0344054944355044"
"37","-0.0602160086093534"
"38","-0.00922305404588131"
"39","0.103844557090739"
"40","9.07123244757236"
"41","0.106256444612927"
