"","x"
"1","Name"
"2","Student number"
"3","05"
"4","R"
"5","4.1.2"
"6","-0.932275875561438"
"7","0.090458652157134"
"8","-1.11122070069309"
"9","0.103367130685859"
"10","-2.39712888658759"
"11","0.112335324288507"
"12","-137.998014467283"
"13","6.74385129377334"
"14","0.811542622708298"
"15","0.115166033709772"
"16","0.921989306744031"
"17","0.132304612861627"
"18","-1815.76747450947"
"19","0.191518558132308"
"20","-21.8850217868587"
"21","15.4251320607399"
"22","2.46762978496482"
"23","3.99225994115397"
"24","15.4251320607399"
"25","-26.340215439556"
"26","4.15990655039684"
"27","6.75517682841932"
"28","2.46762978496482"
"29","4.15990655039684"
"30","-7.66015004974714"
"31","1.03261371438548"
"32","3.99225994115397"
"33","6.75517682841932"
"34","1.03261371438548"
"35","-11.7800504839588"
"36","-0.0320859374984626"
"37","-0.054456908984535"
"38","-0.0081339525948054"
"39","0.094676799077803"
"40","16.6146733438808"
"41","0.00529163865668525"
