"","x"
"1","Name"
"2","Student number"
"3","63"
"4","R"
"5","4.1.2"
"6","-0.915039644082859"
"7","0.0906440052185963"
"8","-1.08090810699981"
"9","0.104513254969524"
"10","-2.39735240462912"
"11","0.112839045245893"
"12","-141.501141509935"
"13","6.86157224334084"
"14","0.926274570017061"
"15","0.11463053906744"
"16","0.9553776172441"
"17","0.133672881058911"
"18","-1793.46030297717"
"19","0.204233010637792"
"20","-21.8179182689763"
"21","15.3040595514468"
"22","2.4338545630385"
"23","4.08000415449098"
"24","15.3040595514468"
"25","-26.6334372258406"
"26","4.21519393838026"
"27","7.11418373601351"
"28","2.4338545630385"
"29","4.21519393838026"
"30","-7.72788844473527"
"31","1.07883994331651"
"32","4.08000415449098"
"33","7.11418373601351"
"34","1.07883994331651"
"35","-12.273027833821"
"36","-0.0377112973401677"
"37","-0.0658027815227128"
"38","-0.00974293824023795"
"39","0.113257017103118"
"40","17.4515053934035"
"41","0.0037185209353493"
