"","x"
"1","Name"
"2","Student number"
"3","90"
"4","R"
"5","4.1.2"
"6","-0.939632985954281"
"7","0.091749000656764"
"8","-1.04489664864356"
"9","0.103075458471101"
"10","-2.44050818352883"
"11","0.114265365084976"
"12","-142.308916979474"
"13","6.94144006584585"
"14","0.900612078326912"
"15","0.114722964004011"
"16","0.816688630614159"
"17","0.140710736273341"
"18","-1797.54035657469"
"19","0.200293171025994"
"20","-22.0003048153843"
"21","15.4687679020078"
"22","2.52597761087765"
"23","4.00555930249889"
"24","15.4687679020078"
"25","-26.8437167487206"
"26","4.43209224418384"
"27","6.94285660252898"
"28","2.52597761087765"
"29","4.43209224418384"
"30","-8.05202932767861"
"31","1.09395947261711"
"32","4.00555930249889"
"33","6.94285660252898"
"34","1.09395947261711"
"35","-12.042375377645"
"36","-0.0331193695310347"
"37","-0.0572728029392354"
"38","-0.00885910771259683"
"39","0.0992512801828669"
"40","15.319735218572"
"41","0.0090800533903885"
