"","x"
"1","Name"
"2","Student number"
"3","57"
"4","R"
"5","4.1.2"
"6","-0.965996025127621"
"7","0.0927861858752932"
"8","-1.06885152184738"
"9","0.103092306091817"
"10","-2.47142763639881"
"11","0.115653797159684"
"12","-142.372618647988"
"13","6.9169864295881"
"14","0.943801857288727"
"15","0.117360764737778"
"16","0.922707583945292"
"17","0.13589493168308"
"18","-1784.59349508844"
"19","0.203727251254238"
"20","-21.9538144177683"
"21","15.4856890399101"
"22","2.53219718319203"
"23","3.93592819466616"
"24","15.4856890399101"
"25","-26.684064670167"
"26","4.40595193882582"
"27","6.79242369143111"
"28","2.53219718319203"
"29","4.40595193882582"
"30","-8.01512735613738"
"31","1.07697823411953"
"32","3.93592819466616"
"33","6.79242369143111"
"34","1.07697823411953"
"35","-11.8053301202168"
"36","-0.0356940663753291"
"37","-0.0611196873291961"
"38","-0.00947981621922585"
"39","0.106293569923751"
"40","11.485091303325"
"41","0.0425665943431105"
