"","x"
"1","Name"
"2","Student number"
"3","37"
"4","R"
"5","4.1.2"
"6","-0.847962146067088"
"7","0.0901038897186272"
"8","-1.01546132150856"
"9","0.10238721760693"
"10","-2.43123843791025"
"11","0.11374440367745"
"12","-139.442063072793"
"13","6.9272674783402"
"14","0.833640266575187"
"15","0.115756196550038"
"16","1.00842071183031"
"17","0.132658232147321"
"18","-1794.26019768148"
"19","0.196085957476553"
"20","-21.6740908183658"
"21","15.4544952644028"
"22","2.53710934236106"
"23","3.682486211602"
"24","15.4544952644028"
"25","-26.4862936683187"
"26","4.47330012489218"
"27","6.55849827902377"
"28","2.53710934236106"
"29","4.47330012489218"
"30","-8.03025739960782"
"31","1.01984793235459"
"32","3.682486211602"
"33","6.55849827902377"
"34","1.01984793235459"
"35","-11.2608324229804"
"36","-0.0305674409603006"
"37","-0.0542982523279646"
"38","-0.0082484211856814"
"39","0.0931141144739465"
"40","5.46340633634319"
"41","0.361975196485136"
